rx,tx,rssi,ts,str
0,2,-94,1422813602000,02/01/2015 - 11:00:02.000
0,5,-65,1422813609000,02/01/2015 - 11:00:09.000
0,4,-62,1422813608000,02/01/2015 - 11:00:08.000
0,4,-62,1422813612000,02/01/2015 - 11:00:12.000
0,6,-84,1422813614000,02/01/2015 - 11:00:14.000
0,3,-108,1422813615000,02/01/2015 - 11:00:15.000
0,2,-103,1422813622000,02/01/2015 - 11:00:22.000
0,4,-62,1422813621000,02/01/2015 - 11:00:21.000
0,3,-108,1422813627000,02/01/2015 - 11:00:27.000
0,5,-65,1422813624000,02/01/2015 - 11:00:24.000
0,5,-66,1422813625000,02/01/2015 - 11:00:25.000
0,6,-84,1422813629000,02/01/2015 - 11:00:29.000
0,3,-106,1422813628000,02/01/2015 - 11:00:28.000
0,2,-108,1422813634000,02/01/2015 - 11:00:34.000
0,4,-63,1422813638000,02/01/2015 - 11:00:38.000
0,2,-93,1422813645000,02/01/2015 - 11:00:45.000
0,5,-65,1422813646000,02/01/2015 - 11:00:46.000
0,6,-83,1422813647000,02/01/2015 - 11:00:47.000
0,3,-107,1422813653000,02/01/2015 - 11:00:53.000
0,6,-84,1422813654000,02/01/2015 - 11:00:54.000
0,2,-94,1422813662000,02/01/2015 - 11:01:02.000
0,2,-95,1422813656000,02/01/2015 - 11:00:56.000
0,3,-107,1422813669000,02/01/2015 - 11:01:09.000
0,5,-65,1422813674000,02/01/2015 - 11:01:14.000
0,4,-62,1422813672000,02/01/2015 - 11:01:12.000
0,4,-61,1422813681000,02/01/2015 - 11:01:21.000
0,3,-107,1422813675000,02/01/2015 - 11:01:15.000
0,6,-85,1422813685000,02/01/2015 - 11:01:25.000
0,2,-95,1422813682000,02/01/2015 - 11:01:22.000
0,6,-84,1422813689000,02/01/2015 - 11:01:29.000
0,1,-98,1422813686000,02/01/2015 - 11:01:26.000
0,2,-94,1422813694000,02/01/2015 - 11:01:34.000
0,3,-109,1422813688000,02/01/2015 - 11:01:28.000
0,7,-74,1422813695000,02/01/2015 - 11:01:35.000
0,4,-61,1422813698000,02/01/2015 - 11:01:38.000
0,2,-96,1422813705000,02/01/2015 - 11:01:45.000
0,6,-84,1422813701000,02/01/2015 - 11:01:41.000
